config,sentinel,engine_layers,threshold,adv_recall,nonadv_fpr,mean_sr_truth,mean_sr_adversarial
L0 / L1-3,0,1-2-3,0.0034275106974491114,0.91,0.9950248756218906,0.0027858981400516437,0.0031022758867442755
L0 / L2-4,0,2-3-4,0.005443776061229937,0.91,0.9950248756218906,0.004406079852441076,0.004927218818064709
L0 / L3-5,0,3-4-5,0.04803216344410612,0.91,0.9950248756218906,0.03895994577681361,0.04347441498919571
L1 / L2-4,1,2-3-4,1.5882593934079943,0.0,0.3283582089552239,1.5809962054595457,1.588259393407994
L0 / L4-6,0,4-5-6,0.06974461428794579,0.91,0.9950248756218906,0.05659436822963804,0.06312658201090467
